Directorate,Type of Expenditure,Supplier,£
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"4,934.27"
Adult & Community Services,Residential Care,Scope,"4,913.19"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"4,902.00"
Environment,Highway Salt,Salt Union Ltd,"4,891.13"
Adult & Community Services,Residential Care,Community Housing & Therapy,"4,875.00"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"4,864.00"
Adult & Community Services,Residential Care,Care Management Group Limited,"4,861.46"
Environment,Recycling Inert Pay,Environmental Waste Metals Limited,"4,861.08"
Adult & Community Services,Furniture & Equipmen,Care Management Group Limited,"4,847.14"
Housing,Assessible Trans Ser,Parker Car Service,"4,841.40"
Environment,Landlord Service,Savills Commercial Ltd,"4,840.12"
Adult & Community Services,Nursing Care,High Hurlands Homes,"4,824.68"
Adult & Community Services,Residential Care,Acorn Lodge,"4,821.08"
Childrens' & Cultural Services,External Consultants,Jill Roucroft,"4,800.00"
Environment,Energy - Gas,Kent County Council(Kcs),"4,787.76"
Childrens' & Cultural Services,Conference Expenses,Lensbury Limited,"4,787.18"
Adult & Community Services,Residential Care,Haydon Park Lodge,"4,782.70"
Adult & Community Services,Residential Care,Haydon Park Lodge,"4,782.70"
Environment,Minor Contract Payme,VOLKERHIGHWAYS LTD,"4,781.28"
Adult & Community Services,Residential Care,High Hurlands Homes,"4,779.76"
Adult & Community Services,Residential Care,High Hurlands Homes,"4,779.76"
Housing,Assessible Trans Ser,Oakmarket Group Ltd,"4,777.69"
Adult & Community Services,Residential Care,Scope,"4,754.70"
Adult & Community Services,Residential Care,Scope,"4,754.70"
Adult & Community Services,Residential Care,Richmond Homes For Life Trust,"4,732.15"
Adult & Community Services,Residential Care,Community Housing & Therapy,"4,729.30"
Environment,Parking Equipment,COBALT TELEPHONE TECHNOLOGIES,"4,700.00"
Adult & Community Services,Residential Care,East View Housing Management Ltd,"4,692.47"
Adult & Community Services,Nursing Care,Acorn Lodge,"4,665.56"
Adult & Community Services,Residential Care,Acorn Lodge,"4,665.56"
Adult & Community Services,Residential Care,High Hurlands Homes,"4,625.70"
Adult & Community Services,Residential Care,High Hurlands Homes,"4,625.70"
Environment,Furniture & Equipmen,Neopost Ltd,"4,587.50"
Housing,Reactive Maint (DSO),Parker Car Service,"4,586.96"
Adult & Community Services,Grants Volunt Orgs,Ham and Petersham S.O.S. Scheme,"4,585.00"
Childrens' & Cultural Services,Furniture & Equipmen,Jigsaw Systems Ltd,"4,580.99"
Childrens' & Cultural Services,Residential Care,Active Serve Ltd,"4,567.92"
Adult & Community Services,Residential Care,Robinia Care South,"4,545.88"
Adult & Community Services,Residential Care,Robinia Care South,"4,545.88"
Adult & Community Services,Residential Care,East View Housing Management Ltd,"4,541.10"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"4,502.14"
Environment,Rents Payable,Environment Trust for Richmond,"4,500.00"
Childrens' & Cultural Services,St Christopher's Rd,ST.CHRISTOPHER'S FELLOWSHIP,"4,485.26"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"4,457.14"
Childrens' & Cultural Services,CSC Grnt fnding serv,Hillpark Nursery,"4,440.00"
Childrens' & Cultural Services,Residential Care,Active Serve Ltd,"4,439.35"
Childrens' & Cultural Services,CSC Grnt fnding serv,Lambsmead Nurseries(Meadowview),"4,400.00"
Adult & Community Services,Nursing Care,Robinia Care South,"4,399.24"
Adult & Community Services,Residential Care,Robinia Care South,"4,399.24"
Childrens' & Cultural Services,Brought Professional,Michael Yetman,"4,371.00"
Adult & Community Services,Nursing Care,Care Uk Community Partnerships Ltd,"4,370.10"
Housing,Stray Dogs Contract,Quickil Pest Control Services Ltd,"4,364.98"
Adult & Community Services,Residential Care,Royal Mencap Society,"4,363.21"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"4,356.85"
Childrens' & Cultural Services,Independent Foster,Resource Partners-Special People,"4,349.89"
Adult & Community Services,Residential Care,Scope,"4,278.00"
Adult & Community Services,Residential Care,Scope,"4,278.00"
Childrens' & Cultural Services,16+ Education Provis,Richmond upon Thames College,"4,275.00"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"4,274.81"
Adult & Community Services,Nursing Care,Titleworth Healthcare Ltd,"4,244.83"
Environment,Minor Contract Payme,VOLKERHIGHWAYS LTD,"4,227.35"
Environment,ICT expenditure,Serco Limited,"4,225.32"
Adult & Community Services,Residential Care,Royal Mencap Society,"4,222.45"
Adult & Community Services,Residential Care,Queen Elizabeth's Foundation,"4,214.59"
Adult & Community Services,Residential Care,Queen Elizabeth's Foundation,"4,214.59"
Adult & Community Services,Residential Care,Queen Elizabeth's Foundation,"4,214.59"
Environment,ICT expenditure,L. B. Hammersmith & Fulham,"4,198.60"
Environment,ICT expenditure,L. B. Hammersmith & Fulham,"4,198.60"
Adult & Community Services,Residential Care,Craegmoor Facilities Company,"4,181.60"
Adult & Community Services,Residential Care,Redcotts (S Hassan),"4,170.40"
Adult & Community Services,Residential Care,Scope,"4,140.00"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"4,137.00"
Adult & Community Services,Nursing Care,Titleworth Healthcare Ltd,"4,107.90"
Adult & Community Services,Residential Care,Scope,"4,107.19"
Adult & Community Services,Residential Care,Royal Mencap Society,"4,104.31"
Adult & Community Services,Residential Care,Royal Mencap Society,"4,104.31"
Childrens' & Cultural Services,Energy - Gas,Kent County Council(Kcs),"4,101.17"
Housing,Assessible Trans Ser,Bats - Accounts Office,"4,093.00"
Adult & Community Services,Residential Care,Ability Housing Association,"4,053.03"
Finance & Corporate Services,External Consultants,Practicus Limited,"4,050.00"
Environment,Landlord Service,Savills Commercial Ltd,"4,044.66"
Childrens' & Cultural Services,London Grid Contract,London Grid For Learning,"4,034.92"
Adult & Community Services,Energy - Gas,E.ON LIMITED,"4,030.01"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"4,006.80"
Childrens' & Cultural Services,CSC Grnt fnding serv,Kingston University,"4,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"4,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"4,000.00"
Housing,Voucher Scheme,BBFI Ltd,"4,000.00"
Finance & Corporate Services,Software Licences,RSM Tenon Ltd,"3,995.00"
Childrens' & Cultural Services,Library Books,Askews Library Services ltd,"3,990.29"
Childrens' & Cultural Services,Rents Payable,Castelnau Centre Project,"3,981.66"
Adult & Community Services,Residential Care,Scope,"3,974.70"
Adult & Community Services,Residential Care,Scope,"3,974.70"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,973.50"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,972.01"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,972.01"
Childrens' & Cultural Services,Other Miscelaneous,Conservation By Design Ltd,"3,969.00"
Adult & Community Services,Home Care,Safe Start Foundation,"3,960.00"
Finance & Corporate Services,Employee Training Ex,Azzur Limited,"3,938.20"
Childrens' & Cultural Services,Disabled Children's,St Christopher's School,"3,934.80"
Housing,Reactive Maint (DSO),Parker Car Service,"3,923.59"
Childrens' & Cultural Services,Independent Foster,Moments Fostering Limited,"3,923.05"
Childrens' & Cultural Services,Independent Foster,Moments Fostering Limited,"3,923.05"
Adult & Community Services,Residential Care,Ability Housing Association,"3,922.29"
Housing,Assessible Trans Ser,PR Coaches Ltd,"3,893.75"
Housing,Assessible Trans Ser,PR Coaches Ltd,"3,893.75"
Housing,Assessible Trans Ser,PR Coaches Ltd,"3,893.75"
Adult & Community Services,Residential Care,Scope,"3,864.00"
Adult & Community Services,Residential Care,Care Uk Community Partnerships Ltd,"3,827.14"
Adult & Community Services,Contract for Joint,Medequip Assistive Technology Ltd.,"3,777.86"
Adult & Community Services,Residential Care,Beech Lodge,"3,773.81"
Adult & Community Services,Residential Care,Acorn Lodge,"3,773.72"
Adult & Community Services,Residential Care,Mr Ramsiam Teeluck,"3,764.25"
Adult & Community Services,Residential Care,Care Uk Community Partnerships Ltd,"3,752.14"
Adult & Community Services,Residential Care,Scope,"3,751.00"
Adult & Community Services,Grants Comm Groups,Middlesex Association For The Blind,"3,750.00"
Housing,Assessible Trans Ser,PR Coaches Ltd,"3,748.75"
Adult & Community Services,Residential Care,Gospel Standard Bethesda Fund,"3,730.23"
Adult & Community Services,Residential Care,Community Housing & Therapy,"3,723.50"
Environment,Vehicle Hire,John Hanlon & Company Ltd,"3,680.00"
Adult & Community Services,Residential Care,Wirral Autistic Society,"3,663.57"
Adult & Community Services,Residential Care,Wirral Autistic Society,"3,663.56"
Adult & Community Services,Residential Care,Wirral Autistic Society,"3,663.56"
Adult & Community Services,Residential Care,Beech Lodge,"3,652.01"
Adult & Community Services,Residential Care,Acorn Lodge,"3,651.99"
Adult & Community Services,Residential Care,Acorn Lodge,"3,651.99"
Adult & Community Services,Residential Care,T Elkington & C W Cole T/A Eleri,"3,651.68"
Adult & Community Services,Residential Care,T Elkington & C W Cole T/A Eleri,"3,651.68"
Adult & Community Services,Residential Care,Community Housing & Therapy,"3,650.50"
Adult & Community Services,Residential Care,Mr Ramsiam Teeluck,"3,642.00"
Adult & Community Services,Residential Care,Scope,"3,630.00"
Adult & Community Services,Residential Care,Care Management Group Limited,"3,597.51"
Adult & Community Services,Nursing Care,BUPA Care Services,"3,591.00"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"3,587.61"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"3,584.36"
Childrens' & Cultural Services,Independent Foster,Five Rivers Childcare Ltd,"3,581.40"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"3,580.00"
Adult & Community Services,Supported Living,Ashington House Limited,"3,570.60"
Adult & Community Services,Community Safety,R L Barrett T/A Time Business,"3,565.00"
Adult & Community Services,Residential Care,Deepdene Care Limited,"3,551.71"
Adult & Community Services,Respite Care,Malmesbury House,"3,546.00"
Adult & Community Services,Residential Care,Cherry Lodge,"3,542.77"
Adult & Community Services,Home Care,Home From Hospital Ltd,"3,538.40"
Adult & Community Services,Residential Care,MACINTYRE CARE,"3,533.43"
Childrens' & Cultural Services,Independent Foster,Futures For Children Ltd,"3,511.50"
Adult & Community Services,Home Care,Home From Hospital Ltd,"3,511.19"
Childrens' & Cultural Services,Agency Staff,Wandsworth Council,"3,500.00"
Adult & Community Services,Nursing Care,Titleworth Healthcare Ltd,"3,490.02"
Environment,Vehicle Hire,John Hanlon & Company Ltd,"3,472.00"
Childrens' & Cultural Services,External Printing,Hackman Printers Ltd T/A HSW Print,"3,468.16"
Childrens' & Cultural Services,Independent Foster,Capstone Foster Care,"3,465.30"
Childrens' & Cultural Services,Independent Foster,Capstone Foster Care,"3,465.30"
Childrens' & Cultural Services,Independent Foster,Capstone Foster Care,"3,465.30"
Finance & Corporate Services,Staff Advertising,Penna PLC T/A Penna Barkers,"3,462.80"
Adult & Community Services,Residential Care,Loxwood House Limited,"3,438.88"
Adult & Community Services,Nursing Care,SHELBOURNE SENIOR LIVING,"3,428.40"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.58"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.58"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.58"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.36"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.36"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.36"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,427.36"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"3,394.33"
Environment,Energy - Gas,Kent County Council(Kcs),"3,393.14"
Adult & Community Services,Residential Care,Scope,"3,388.00"
Adult & Community Services,Nursing Care,Titleworth Healthcare Ltd,"3,377.44"
Adult & Community Services,Residential Care,Anchor Trust,"3,371.90"
Adult & Community Services,Residential Care,Anchor Trust,"3,371.90"
Adult & Community Services,Home Care,Home From Hospital Ltd,"3,345.04"
Adult & Community Services,Residential Care,Mr Ramsiam Teeluck,"3,321.42"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.96"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.96"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.96"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.89"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.89"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.89"
Adult & Community Services,Residential Care,Royal Mencap Society,"3,316.89"
Housing,Reactive Maint (DSO),Venture Factors,"3,305.00"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"3,295.71"
Adult & Community Services,Nursing Care,Four Seasons Health Care,"3,294.37"
Adult & Community Services,Home Care,Home From Hospital Ltd,"3,293.68"
Environment,Remote Storage,Wincanton Records Management,"3,271.47"
Adult & Community Services,Residential Care,Corbenic Camphill Community,"3,256.32"
Adult & Community Services,Residential Care,Corbenic Camphill Community,"3,256.32"
Environment,Grounds Maint-Contra,A C Van Santen & Son Ltd,"3,254.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"3,250.00"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,233.30"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,233.30"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,233.30"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,233.30"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,233.30"
Housing,Reactive Maint (DSO),Parker Car Service,"3,230.35"
Environment,Rents Payable,Savills Commercial Ltd,"3,228.07"
Adult & Community Services,Residential Care,Mr Ramsiam Teeluck,"3,214.28"
Adult & Community Services,Home Care,Supporta Care Limited,"3,213.83"
Childrens' & Cultural Services,Independent Schools,Five Bridges,"3,200.00"
Environment,property Maintenance,Powerrod,"3,200.00"
Childrens' & Cultural Services,Independent Foster,Capital Care & Foster Ltd,"3,196.12"
Adult & Community Services,Nursing Care,Four Seasons Health Care,"3,188.10"
Adult & Community Services,Nursing Care,Four Seasons Health Care,"3,188.10"
Adult & Community Services,Nursing Care,Four Seasons Health Care,"3,188.10"
Adult & Community Services,External Printing,Wavingnotdrowning Ltd,"3,176.00"
Housing,Reactive Maint (DSO),Venture Factors,"3,165.00"
Environment,Energy - Electricity,Kent County Council(Kcs),"3,159.72"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,150.70"
Housing,Reactive Maint (DSO),Venture Factors,"3,148.50"
Childrens' & Cultural Services,Independent Foster,Rainbow Fostering Services Ltd,"3,128.52"
Adult & Community Services,Residential Care,Leonard Cheshire Foundation,"3,114.17"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,105.27"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,105.27"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,105.27"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,105.27"
Adult & Community Services,Home Care,Supporta Care Limited,"3,104.73"
Adult & Community Services,Nursing Care,SS Refunds,"3,104.34"
Childrens' & Cultural Services,Subscriptions,Shropshire County Council,"3,091.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"3,087.50"
Adult & Community Services,Residential Care,Deepdene Care Limited,"3,071.66"
Adult & Community Services,property Maintenance,London & Quadrant Housing Trust,"3,066.95"
Adult & Community Services,Residential Care,ILIACE Ltd,"3,052.35"
Adult & Community Services,Residential Care,Acorn Lodge,"3,040.57"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,036.76"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,036.76"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,036.76"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,036.76"
Childrens' & Cultural Services,Independent Foster,National Fostering Agency Limited,"3,036.76"
Environment,Highway Salt,Salt Union Ltd,"3,031.71"
Environment,Court Expenses,City Of London,"3,030.00"
Childrens' & Cultural Services,Independent Foster,Rainbow Fostering Services Ltd,"3,027.60"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"3,018.78"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"3,018.22"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"3,009.68"
Environment,Highway Salt,Salt Union Ltd,"3,005.03"
Housing,Reactive Maint (DSO),Venture Factors,"3,005.00"
Finance & Corporate Services,Employee Training Ex,ValueAdding.Com Ltd,"3,000.00"
Childrens' & Cultural Services,Grants Volunt Orgs,Windham Nursery School,"3,000.00"
Environment,Legal Fees,ValueAdding.Com Ltd,"3,000.00"
Environment,Miscellaneous Expens,Barnes Community Association,"3,000.00"
Environment,Vehicle Hire,R M MEARS LTD,"3,000.00"
Adult & Community Services,Re-ablement,Eleanor Nursing and Social Care Ltd,"2,991.74"
Environment,Highway Salt,Salt Union Ltd,"2,991.67"
Adult & Community Services,Residential Care,Wychgroup,"2,958.00"
Adult & Community Services,Residential Care,ILIACE Ltd,"2,953.89"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,953.15"
Childrens' & Cultural Services,Library Books,Coutts Information Services Ltd,"2,953.14"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,946.58"
Adult & Community Services,Residential Care,Acorn Lodge,"2,942.49"
Adult & Community Services,Residential Care,Acorn Lodge,"2,942.49"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,923.00"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Shenehom Housing Assoc Ltd,"2,904.52"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,900.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,900.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,900.00"
Environment,Highway Salt,Salt Union Ltd,"2,897.53"
Environment,Highway Salt,Salt Union Ltd,"2,885.58"
Environment,Minor Contract Payme,Veolia ES (UK) Limited,"2,884.40"
Environment,Highway Salt,Salt Union Ltd,"2,874.34"
Childrens' & Cultural Services,Furniture & Equipmen,Surrey County Council,"2,867.50"
Childrens' & Cultural Services,Independent Foster,Cherry Trees,"2,864.16"
Adult & Community Services,Residential Care,Care Management Group Limited,"2,826.39"
Environment,Minor Contract Payme,Veolia ES (UK) Limited,"2,823.04"
Childrens' & Cultural Services,Grants Volunt Orgs,Combination Dance Company,"2,820.00"
Adult & Community Services,Re-ablement,Eleanor Nursing and Social Care Ltd,"2,796.05"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,785.71"
Childrens' & Cultural Services,St Christopher's Rd,ST.CHRISTOPHER'S FELLOWSHIP,"2,784.00"
Childrens' & Cultural Services,Project Expenses,Brentford FC Community Sports Trust,"2,778.00"
Adult & Community Services,Residential Care,Deepdene Care Limited,"2,771.40"
Adult & Community Services,Residential Care,Care Management Group Limited,"2,771.01"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,753.68"
Finance & Corporate Services,Computer Maintenance,Iken Business Ltd,"2,749.62"
Adult & Community Services,Residential Care,ZZFees Res Care Cont,"2,738.90"
Adult & Community Services,Day Care,Nas Services Ltd,"2,737.48"
Adult & Community Services,Residential Care,Sanctuary Care Ltd,"2,737.37"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,723.68"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,723.68"
Childrens' & Cultural Services,Independent Foster,Focus on Fostering Ltd,"2,712.30"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,708.82"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,708.82"
Adult & Community Services,Grants Volunt Orgs,Addiction Support And Care Agency,"2,706.50"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"2,700.00"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"2,700.00"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"2,700.00"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"2,700.00"
Childrens' & Cultural Services,Rents Payable,ST.CHRISTOPHER'S FELLOWSHIP,"2,687.58"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,683.71"
Environment,Rents Payable,Savills Commercial Ltd,"2,680.95"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"2,679.06"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"2,679.06"
Childrens' & Cultural Services,Brought Professional,Michael Yetman,"2,671.00"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,657.14"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,649.64"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,649.64"
Adult & Community Services,Day Care,Nas Services Ltd,"2,649.17"
Adult & Community Services,Day Care,Nas Services Ltd,"2,649.17"
Childrens' & Cultural Services,Agency Staff,Cashfriday Ltd,"2,648.10"
Environment,Vehicle Workshop,Fuchs Lubricants (UK) plc,"2,637.00"
Adult & Community Services,Nursing Care,BOTHWELLS LIMITED T/AS,"2,636.99"
Adult & Community Services,Nursing Care,ASCOT RESIDENTIAL HOMES LTD,"2,633.21"
Adult & Community Services,Nursing Care,ASCOT RESIDENTIAL HOMES LTD,"2,633.21"
Adult & Community Services,Nursing Care,ASCOT RESIDENTIAL HOMES LTD,"2,633.21"
Environment,Subscriptions,Wandsworth Council,"2,630.00"
Adult & Community Services,Residential Care,Frances Taylor Foundation,"2,628.49"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,623.84"
Housing,External Consultants,Hall Safety & Environmental Limited,"2,621.75"
Adult & Community Services,Day Care,Nas Services Ltd,"2,620.34"
Adult & Community Services,Day Care,Nas Services Ltd,"2,620.34"
Adult & Community Services,Day Care,Nas Services Ltd,"2,620.34"
Adult & Community Services,Respite Care,Malmesbury House,"2,617.29"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,617.28"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,608.71"
Adult & Community Services,Residential Care,Starcourt Construction Ltd T/A,"2,608.71"
Environment,Grounds Maint-Contra,Venture Factors,"2,600.10"
Childrens' & Cultural Services,16+ Education Provis,Richmond upon Thames College,"2,600.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"2,600.00"
Adult & Community Services,Residential Care,Malmesbury House,"2,597.31"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,597.14"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"2,592.64"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"2,592.64"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,574.90"
Adult & Community Services,Residential Care,Scope,"2,574.01"
Adult & Community Services,Residential Care,Scope,"2,574.00"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,571.43"
Adult & Community Services,Nursing Care,Hampton Care Ltd,"2,571.42"
Finance & Corporate Services,Agency Staff,Mrs P Cartwright T/A Quest,"2,560.00"
Childrens' & Cultural Services,Pools Parking Refund,Springhealth Leisure Plc,"2,557.66"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,555.92"
Adult & Community Services,Nursing Care,BOTHWELLS LIMITED T/AS,"2,551.93"
Adult & Community Services,Residential Care,Frances Taylor Foundation,"2,543.70"
Environment,Security,BT Redcare,"2,541.96"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,539.20"
Adult & Community Services,Day Care,Nas Services Ltd,"2,535.81"
Adult & Community Services,Day Care,Nas Services Ltd,"2,535.81"
Adult & Community Services,Day Care,Nas Services Ltd,"2,535.81"
Adult & Community Services,Day Care,Nas Services Ltd,"2,535.81"
Adult & Community Services,Residential Care,Hampton Care Ltd,"2,532.86"
Environment,Energy - Electricity,Kent County Council(Kcs),"2,521.04"
Adult & Community Services,Residential Care,Malmesbury House,"2,513.53"
Adult & Community Services,Residential Care,Malmesbury House,"2,513.53"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,512.88"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,512.88"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,512.88"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,512.88"
Adult & Community Services,Residential Care,Wychgroup,"2,507.70"
Adult & Community Services,Residential Care,Wychgroup,"2,507.70"
Adult & Community Services,Residential Care,Wychgroup,"2,507.70"
Adult & Community Services,Residential Care,ROSECROFT REST HOME,"2,507.14"
Housing,Assessible Trans Ser,Venture Factors,"2,506.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,505.65"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
